idx,orig_f_shape,orig_m_shape,harmonized_shape,CRS_match
0361,"(66, 76)","(64, 73)","(64, 73)",True
0362,"(79, 65)","(77, 62)","(77, 62)",True
0363,"(78, 73)","(75, 70)","(75, 70)",True
0364,"(72, 76)","(69, 73)","(69, 73)",True
0365,"(106, 86)","(102, 81)","(102, 81)",True
0366,"(82, 57)","(79, 54)","(79, 54)",True
0367,"(56, 49)","(53, 46)","(53, 46)",True
0368,"(55, 52)","(52, 50)","(52, 50)",True
0369,"(53, 52)","(51, 49)","(51, 49)",True
0370,"(64, 76)","(61, 73)","(61, 73)",True
0371,"(60, 59)","(58, 56)","(58, 56)",True
0372,"(106, 82)","(103, 78)","(103, 78)",True
0373,"(79, 65)","(77, 62)","(77, 62)",True
0374,"(73, 57)","(70, 53)","(70, 53)",True
0375,"(86, 71)","(83, 68)","(83, 68)",True
0376,"(63, 61)","(61, 58)","(61, 58)",True
0377,"(111, 67)","(108, 63)","(108, 63)",True
0378,"(62, 61)","(59, 58)","(59, 58)",True
0379,"(67, 61)","(64, 59)","(64, 59)",True
0380,"(60, 60)","(57, 57)","(57, 57)",True
0381,"(79, 93)","(75, 90)","(75, 90)",True
0382,"(57, 64)","(54, 61)","(54, 61)",True
0383,"(80, 73)","(77, 70)","(77, 70)",True
0384,"(59, 60)","(56, 57)","(56, 57)",True
0385,"(61, 67)","(58, 64)","(58, 64)",True
0386,"(53, 55)","(50, 51)","(50, 51)",True
0387,"(61, 77)","(58, 74)","(58, 74)",True
0388,"(66, 77)","(63, 73)","(63, 73)",True
0389,"(69, 71)","(66, 68)","(66, 68)",True
0390,"(74, 74)","(70, 72)","(70, 72)",True
0391,"(67, 61)","(64, 58)","(64, 58)",True
0392,"(84, 62)","(81, 58)","(81, 58)",True
0393,"(84, 62)","(80, 58)","(80, 58)",True
0394,"(75, 71)","(72, 68)","(72, 68)",True
0395,"(60, 65)","(57, 62)","(57, 62)",True
0396,"(57, 55)","(54, 52)","(54, 52)",True
0397,"(74, 101)","(70, 98)","(70, 98)",True
0398,"(58, 70)","(55, 68)","(55, 68)",True
0399,"(70, 52)","(67, 48)","(67, 48)",True
0400,"(55, 65)","(52, 62)","(52, 62)",True
0401,"(50, 54)","(47, 52)","(47, 52)",True
0402,"(120, 89)","(117, 85)","(117, 85)",True
0403,"(60, 62)","(57, 59)","(57, 59)",True
0404,"(78, 59)","(75, 56)","(75, 56)",True
0405,"(87, 81)","(85, 78)","(85, 78)",True
0406,"(73, 100)","(69, 97)","(69, 97)",True
0407,"(90, 124)","(85, 121)","(85, 121)",True
0408,"(57, 60)","(54, 57)","(54, 57)",True
0409,"(61, 62)","(58, 60)","(58, 60)",True
0410,"(66, 78)","(63, 76)","(63, 76)",True
0411,"(89, 133)","(86, 129)","(86, 129)",True
0412,"(84, 89)","(81, 85)","(81, 85)",True
0413,"(84, 76)","(81, 73)","(81, 73)",True
0414,"(63, 75)","(60, 72)","(60, 72)",True
0415,"(63, 83)","(60, 81)","(60, 81)",True
0416,"(83, 65)","(80, 62)","(80, 62)",True
0417,"(62, 66)","(60, 64)","(60, 64)",True
0418,"(55, 56)","(53, 53)","(53, 53)",True
0419,"(69, 67)","(66, 64)","(66, 64)",True
0420,"(59, 66)","(56, 64)","(56, 64)",True
0421,"(52, 58)","(49, 56)","(49, 56)",True
0422,"(52, 75)","(49, 73)","(49, 73)",True
0423,"(63, 67)","(60, 65)","(60, 65)",True
0424,"(77, 75)","(74, 72)","(74, 72)",True
0425,"(83, 65)","(80, 62)","(80, 62)",True
0426,"(93, 60)","(91, 57)","(91, 57)",True
0427,"(84, 76)","(82, 73)","(82, 73)",True
0428,"(64, 99)","(61, 95)","(61, 95)",True
0429,"(64, 53)","(61, 50)","(61, 50)",True
0430,"(64, 54)","(61, 51)","(61, 51)",True
0431,"(82, 60)","(79, 57)","(79, 57)",True
0432,"(71, 60)","(68, 57)","(68, 57)",True
0433,"(64, 63)","(62, 61)","(62, 61)",True
0434,"(78, 95)","(75, 92)","(75, 92)",True
0435,"(69, 83)","(66, 80)","(66, 80)",True
0436,"(71, 120)","(67, 117)","(67, 117)",True
0437,"(88, 83)","(85, 80)","(85, 80)",True
0438,"(116, 83)","(114, 79)","(114, 79)",True
0439,"(109, 87)","(106, 83)","(106, 83)",True
0440,"(77, 107)","(73, 104)","(73, 104)",True
0441,"(75, 73)","(72, 69)","(72, 69)",True
0442,"(74, 101)","(70, 98)","(70, 98)",True
0443,"(65, 67)","(62, 64)","(62, 64)",True
0444,"(67, 59)","(64, 56)","(64, 56)",True
0445,"(98, 67)","(95, 63)","(95, 63)",True
0446,"(73, 93)","(69, 89)","(69, 89)",True
0447,"(70, 67)","(67, 64)","(67, 64)",True
0448,"(79, 57)","(76, 54)","(76, 54)",True
0449,"(53, 54)","(50, 51)","(50, 51)",True
0450,"(84, 85)","(80, 82)","(80, 82)",True
0451,"(158, 155)","(153, 150)","(153, 150)",True
0452,"(102, 67)","(99, 64)","(99, 64)",True
0453,"(75, 69)","(71, 65)","(71, 65)",True
0454,"(60, 52)","(57, 50)","(57, 50)",True
0455,"(79, 71)","(76, 67)","(76, 67)",True
