Polygon_ID,Width,Height,Foreground_Pixels,Background_Pixels,Polygon_Area_m2,Rasterized_Area_m2
379,59,64,225,3551,22328.74,22500.0
38,62,70,492,3848,49036.86,49200.0
380,57,57,229,3020,22743.74,22900.0
381,90,75,1117,5633,112054.13,111700.0
382,61,54,210,3084,20643.97,21000.0
383,70,77,557,4833,55590.52,55700.0
384,57,56,176,3016,17525.78,17600.0
385,64,58,245,3467,24764.11,24500.0
386,51,50,84,2466,8163.69,8400.0
387,74,58,314,3978,31066.93,31400.0
388,73,63,491,4108,49178.87,49100.0
389,68,66,591,3897,59581.81,59100.0
39,54,49,101,2545,9912.85,10100.0
390,72,70,663,4377,66318.77,66300.0
391,58,64,263,3449,26466.8,26300.0
392,58,81,389,4309,38795.97,38900.0
393,58,80,513,4127,50642.11,51300.0
394,68,72,514,4382,51404.17,51400.0
395,62,57,173,3361,17465.21,17300.0
396,52,54,131,2677,12933.9,13100.0
397,98,70,1334,5526,132699.71,133400.0
398,68,55,334,3406,33147.94,33400.0
399,48,67,201,3015,19647.9,20100.0
4,133,136,4522,13566,452824.79,452200.0
40,98,87,1813,6713,181279.17,181300.0
400,62,52,216,3008,21421.89,21600.0
401,52,47,65,2379,6645.55,6500.0
402,85,117,2251,7694,225415.82,225100.0
403,59,57,167,3196,16530.9,16700.0
404,56,75,287,3913,28923.36,28700.0
405,78,85,797,5833,80029.52,79700.0
406,97,69,838,5855,83856.97,83800.0
407,121,85,2406,7879,240032.69,240600.0
408,57,54,184,2894,18269.63,18400.0
409,60,58,225,3255,22376.83,22500.0
41,108,100,1999,8801,199654.46,199900.0
410,76,63,573,4215,57297.03,57300.0
411,129,86,1185,9909,118284.44,118500.0
412,85,81,1030,5855,102839.34,103000.0
413,73,81,725,5188,72164.67,72500.0
414,72,60,351,3969,35192.1,35100.0
415,81,60,490,4370,49170.17,49000.0
416,62,80,553,4407,55374.54,55300.0
417,64,60,321,3519,31749.01,32100.0
418,53,53,118,2691,11789.34,11800.0
419,64,66,407,3817,40837.56,40700.0
42,82,82,1070,5654,106806.64,107000.0
420,64,56,266,3318,26548.58,26600.0
421,56,49,106,2638,10523.01,10600.0
422,73,49,161,3416,16153.69,16100.0
423,65,60,303,3597,30265.72,30300.0
424,72,74,658,4670,65216.92,65800.0
425,62,80,628,4332,62736.59,62800.0
426,57,91,638,4549,64289.19,63800.0
427,73,82,786,5200,78203.76,78600.0
428,95,61,785,5010,78715.91,78500.0
429,50,61,164,2886,16128.61,16400.0
43,90,75,1111,5639,111084.03,111100.0
430,51,61,124,2987,12633.08,12400.0
431,57,79,453,4050,45470.53,45300.0
432,57,68,317,3559,31849.09,31700.0
433,61,62,321,3461,32173.34,32100.0
434,92,75,853,6047,85140.61,85300.0
435,80,66,618,4662,61933.21,61800.0
436,117,67,1219,6620,121654.02,121900.0
437,80,85,908,5892,90576.48,90800.0
438,79,114,1546,7460,154592.08,154600.0
439,83,106,1438,7360,143134.61,143800.0
44,85,106,2249,6761,225476.76,224900.0
440,104,73,661,6931,66220.94,66100.0
441,69,72,548,4420,54489.83,54800.0
442,98,70,741,6119,74331.06,74100.0
443,64,62,260,3708,26040.3,26000.0
444,56,64,204,3380,20416.04,20400.0
445,63,95,932,5053,93356.65,93200.0
446,89,69,1166,4975,116292.01,116600.0
447,64,67,369,3919,36767.01,36900.0
448,54,76,401,3703,39347.78,40100.0
449,51,50,72,2478,6956.38,7200.0
45,77,104,1462,6546,146638.28,146200.0
450,82,80,465,6095,46718.1,46500.0
451,150,153,2872,20078,286320.42,287200.0
452,64,99,799,5537,79857.04,79900.0
453,65,71,474,4141,47377.5,47400.0
454,50,57,106,2744,10282.71,10600.0
455,67,76,498,4594,49296.61,49800.0
456,60,75,452,4048,45544.02,45200.0
457,53,67,268,3283,26673.62,26800.0
458,59,67,278,3675,28089.87,27800.0
459,70,77,589,4801,58683.0,58900.0
46,69,76,716,4528,71482.97,71600.0
460,57,57,128,3121,12953.63,12800.0
461,72,73,705,4551,70320.77,70500.0
462,79,65,638,4497,63267.23,63800.0
463,72,85,1028,5092,102848.01,102800.0
464,56,56,132,3004,13100.57,13200.0
